Experimental Time Runs

Algorithm 1: Change Slow
A Values	Time (Seconds)	Optimal Solution	Denominations
100	0.052679	2	5
105	0.063153	3	5
110	0.07219	3	5
115	0.083221	4	5
120	0.10131	4	5
125	0.114766	3	5
130	0.132853	4	5
135	0.154912	4	5
140	0.183481	5	5
145	0.209057	5	5
150	0.230099	3	5
155	0.274232	4	5
160	0.32289	4	5
165	0.361453	5	5
170	0.414626	5	5
175	0.456735	4	5
180	0.501334	5	5
185	0.558988	5	5
190	0.620153	6	5
195	0.691841	6	5
200	0.787093	4	5
205	0.93402	5	5
210	0.987102	5	5
215	1.092442	6	5
220	1.191168	6	5
225	1.361675	5	5
230	1.475411	6	5
235	1.636854	6	5
240	1.7968	7	5
245	2.011852	7	5
250	2.022882	5	5
255	2.343733	6	5
260	2.554791	6	5
265	2.829834	7	5
270	2.984438	7	5
275	3.360439	6	5
280	3.593559	7	5
285	3.756493	7	5
290	4.426763	8	5
295	4.391746	8	5
300	4.645859	6	5

Algorithm 2: Change Greedy
A Values	Time (Seconds)	Optimal Solution	Denominations
10000000	0.056652	200000	5
10500000	0.053642	210000	5
11000000	0.060662	220000	5
11500000	0.059157	230000	5
12000000	0.066676	240000	5
12500000	0.064672	250000	5
13000000	0.073195	260000	5
13500000	0.071216	270000	5
14000000	0.078168	280000	5
14500000	0.075701	290000	5
15000000	0.080714	300000	5
15500000	0.079211	310000	5
16000000	0.095292	320000	5
16500000	0.088735	330000	5
17000000	0.094753	340000	5
17500000	0.089736	350000	5
18000000	0.103318	360000	5
18500000	0.095758	370000	5
19000000	0.104778	380000	5
19500000	0.103314	390000	5
20000000	0.111296	400000	5
20500000	0.104272	410000	5
21000000	0.118297	420000	5
21500000	0.113303	430000	5
22000000	0.120803	440000	5
22500000	0.118314	450000	5
23000000	0.123829	460000	5
23500000	0.123869	470000	5
24000000	0.132394	480000	5
24500000	0.130346	490000	5
25000000	0.137365	500000	5
25500000	0.134396	510000	5
26000000	0.141415	520000	5
26500000	0.138869	530000	5
27000000	0.149397	540000	5
27500000	0.141876	550000	5
28000000	0.157419	560000	5
28500000	0.149388	570000	5
29000000	0.159423	580000	5
29500000	0.153406	590000	5
30000000	0.16243	600000	5

Algorithm 3: Change Dynamic Programming
A Values	Time (Seconds)	Optimal Solution	Denominations
100000	0.242144	2000	5
105000	0.251158	2100	5
110000	0.265207	2200	5
115000	0.27725	2300	5
120000	0.288266	2400	5
125000	0.31232	2500	5
130000	0.316843	2600	5
135000	0.327872	2700	5
140000	0.340906	2800	5
145000	0.350933	2900	5
150000	0.362465	3000	5
155000	0.381014	3100	5
160000	0.384523	3200	5
165000	0.400065	3300	5
170000	0.411095	3400	5
175000	0.429142	3500	5
180000	0.437176	3600	5
185000	0.449696	3700	5
190000	0.467241	3800	5
195000	0.470763	3900	5
200000	0.479776	4000	5
205000	0.497844	4100	5
210000	0.511336	4200	5
215000	0.522389	4300	5
220000	0.548459	4400	5
225000	0.586066	4500	5
230000	0.556982	4600	5
235000	0.582553	4700	5
240000	0.582049	4800	5
245000	0.595584	4900	5
250000	0.606605	5000	5
255000	0.619649	5100	5
260000	0.627669	5200	5
265000	0.64622	5300	5
270000	0.649226	5400	5
275000	0.675797	5500	5
280000	0.687832	5600	5
285000	0.695851	5700	5
290000	0.708386	5800	5
295000	0.712396	5900	5
300000	0.730443	6000	5
