Experimental Time Runs

Algorithm 1: Change Slow
A Values	Time (Seconds)	Optimal Solution	Denominations
100084	0.780578	3337	16
100085	0.783586	3338	16
100086	0.782582	3337	16
100087	0.782617	3338	16
100088	0.777035	3337	16
100089	0.792643	3338	16
100090	0.787136	3337	16
100091	0.786092	3338	16
100092	0.785582	3337	16
100093	0.781541	3338	16
100094	0.776605	3337	16
100095	0.796158	3338	16
100096	0.779074	3337	16
100097	0.778567	3338	16
100098	0.787095	3337	16
100099	0.780076	3338	16
100100	0.790147	3337	16
