Experimental Time Runs

Algorithm 1: Change Slow (V1)
A Values	Time (Seconds)	Optimal Solution	Denominations
100040	0.343406	1670	7
100041	0.335934	1671	7
100042	0.344418	1671	7
100043	0.338401	1672	7
100044	0.339401	1668	7
100045	0.3384	1669	7
100046	0.341406	1669	7
100047	0.337392	1670	7
100048	0.349931	1670	7
100049	0.335393	1671	7
100050	0.340909	1669	7
100051	0.34088	1670	7
100052	0.340907	1670	7
100053	0.337898	1671	7
100054	0.340406	1671	7
100055	0.339403	1672	7
100056	0.339396	1668	7
100057	0.337402	1669	7
100058	0.340908	1669	7
100059	0.337395	1670	7
100060	0.33836	1670	7
100061	0.337899	1671	7
100062	0.338902	1669	7
100063	0.341409	1670	7
100064	0.336935	1670	7
100065	0.339905	1671	7
100066	0.340908	1671	7
100067	0.3384	1672	7
100068	0.337899	1668	7
100069	0.339895	1669	7
100070	0.337887	1669	7
100071	0.336395	1670	7
100072	0.337398	1670	7
100073	0.339904	1671	7
100074	0.333889	1669	7
100075	0.342912	1670	7
100076	0.336903	1670	7
100077	0.342914	1671	7
100078	0.333383	1671	7
100079	0.339404	1672	7
100080	0.340405	1668	7
100081	0.33489	1669	7
100082	0.335895	1669	7
100083	0.338409	1670	7
100084	0.337399	1670	7
100085	0.335917	1671	7
100086	0.338401	1669	7
100087	0.345922	1670	7
100088	0.370484	1670	7
100089	0.389069	1671	7
100090	0.349433	1671	7
100091	0.335896	1672	7
100092	0.343913	1669	7
100093	0.341952	1670	7
100094	0.333347	1670	7
100095	0.338939	1671	7
100096	0.337894	1671	7
100097	0.334892	1672	7
100098	0.340909	1670	7
100099	0.336396	1671	7
100100	0.336389	1671	7

Algorithm 1: Change Slow (V2)
A Values	Time (Seconds)	Optimal Solution	Denominations
25	0.001504	3	5
26	0.001003	2	5
27	0.001	3	5
28	0.001003	4	5
29	0.001503	5	5
30	0.001504	5	5
31	0.001505	4	5
32	0.001503	3	5
33	0.001503	4	5
34	0.002006	5	5
35	0.002006	6	5
36	0.001504	6	5
37	0.002005	1	5
38	0.002506	2	5
39	0.002506	3	5
40	0.00351	4	5
41	0.003008	5	5
42	0.003007	6	5
43	0.004512	2	5
44	0.003008	3	5
45	0.003008	4	5
46	0.004011	5	5
47	0.003509	6	5
48	0.003508	7	5
49	0.003509	3	5
50	0.004011	2	5
51	0.00401	3	5
52	0.004513	4	5
53	0.004511	5	5
54	0.005014	6	5
55	0.004511	4	5
56	0.005012	3	5
57	0.005515	4	5
58	0.005515	5	5
59	0.006016	6	5
60	0.006517	7	5
61	0.006517	5	5
62	0.007019	4	5
63	0.007018	3	5
64	0.008022	4	5
65	0.008021	5	5
66	0.008021	6	5
67	0.009525	6	5
68	0.009024	5	5
69	0.010027	4	5
70	0.009525	5	5
71	0.010027	6	5
72	0.010527	7	5
73	0.01153	7	5
74	0.012533	2	5
75	0.01203	3	5
76	0.012533	4	5
77	0.01356	5	5
78	0.013512	6	5
79	0.014537	7	5
80	0.015066	3	5
81	0.016532	4	5
82	0.016067	5	5
83	0.016042	6	5
84	0.01905	7	5
85	0.018044	8	5
86	0.018548	4	5
87	0.019553	3	5
88	0.020053	4	5
89	0.021056	5	5
90	0.023562	6	5
91	0.022559	7	5
92	0.02256	5	5
93	0.024087	4	5
94	0.024564	5	5
95	0.026092	6	5
96	0.027073	7	5
97	0.026572	8	5
98	0.028075	6	5
99	0.028577	5	5
100	0.029571	4	5
101	0.030581	5	5
102	0.032086	6	5
103	0.033087	7	5
104	0.03359	7	5
105	0.034091	6	5
106	0.035594	5	5
107	0.038601	6	5
108	0.040146	7	5
109	0.039607	8	5
110	0.041612	8	5
111	0.043092	3	5
112	0.043113	4	5
113	0.045621	5	5
114	0.04863	6	5
115	0.048128	7	5
116	0.049171	8	5
117	0.052094	4	5
118	0.051661	5	5
119	0.055146	6	5
120	0.053642	7	5
121	0.056149	8	5
122	0.058655	9	5
123	0.060699	5	5
124	0.059619	4	5
125	0.063167	5	5

Algorithm 2: Change Greedy (V2)
A Values	Time (Seconds)	Optimal Solution	Denominations
10000000	0.017548	66670	5
10000001	0.017545	66671	5
10000002	0.023063	66672	5
10000003	0.01855	66673	5
10000004	0.017045	66674	5
10000005	0.017546	66675	5
10000006	0.017546	66671	5
10000007	0.018089	66672	5
10000008	0.017509	66673	5
10000009	0.018086	66674	5
10000010	0.018036	66675	5
10000011	0.017045	66669	5
10000012	0.017546	66670	5
10000013	0.017546	66671	5
10000014	0.017586	66672	5
10000015	0.01801	66673	5
10000016	0.017546	66674	5
10000017	0.017546	66670	5
10000018	0.017547	66671	5
10000019	0.017044	66672	5
10000020	0.018088	66673	5
10000021	0.017586	66674	5
10000022	0.01805	66675	5
10000023	0.017045	66671	5
10000024	0.018046	66670	5
10000025	0.018088	66671	5
10000026	0.018047	66672	5
10000027	0.018087	66673	5
10000028	0.017546	66674	5
10000029	0.01905	66675	5
10000030	0.018551	66671	5
10000031	0.017007	66672	5
10000032	0.018046	66673	5
10000033	0.017547	66674	5
10000034	0.017028	66675	5
10000035	0.017046	66676	5
10000036	0.017577	66672	5
10000037	0.018087	66671	5
10000038	0.018088	66672	5
10000039	0.018009	66673	5
10000040	0.01805	66674	5
10000041	0.018088	66675	5
10000042	0.017505	66676	5
10000043	0.018087	66672	5
10000044	0.017006	66673	5
10000045	0.017043	66674	5
10000046	0.017545	66675	5
10000047	0.019051	66676	5
10000048	0.018046	66670	5
10000049	0.017039	66671	5
10000050	0.018047	66667	5
10000051	0.017545	66668	5
10000052	0.018018	66669	5
10000053	0.018046	66670	5
10000054	0.017585	66671	5
10000055	0.017006	66672	5
10000056	0.020051	66668	5
10000057	0.018049	66669	5
10000058	0.017046	66670	5
10000059	0.017547	66671	5
10000060	0.017085	66672	5
10000061	0.017576	66673	5
10000062	0.01758	66669	5
10000063	0.018042	66668	5
10000064	0.018048	66669	5
10000065	0.01855	66670	5
10000066	0.019072	66671	5
10000067	0.017547	66672	5
10000068	0.017586	66673	5
10000069	0.017045	66669	5
10000070	0.018055	66670	5
10000071	0.017546	66671	5
10000072	0.017046	66672	5
10000073	0.017585	66673	5
10000074	0.018588	66674	5
10000075	0.017546	66670	5
10000076	0.017551	66669	5
10000077	0.018088	66670	5
10000078	0.017542	66671	5
10000079	0.018588	66672	5
10000080	0.017587	66673	5
10000081	0.017545	66674	5
10000082	0.018049	66670	5
10000083	0.019533	66671	5
10000084	0.020053	66672	5
10000085	0.017045	66673	5
10000086	0.017547	66674	5
10000087	0.017545	66668	5
10000088	0.017545	66669	5
10000089	0.017587	66670	5
10000090	0.01702	66671	5
10000091	0.018548	66672	5
10000092	0.017044	66673	5
10000093	0.017046	66669	5
10000094	0.01703	66670	5
10000095	0.017046	66671	5
10000096	0.018548	66672	5
10000097	0.017546	66673	5
10000098	0.018088	66674	5
10000099	0.017547	66670	5
10000100	0.017045	66669	5

Algorithm 3: Change DP (V2)
A Values	Time (Seconds)	Optimal Solution	Denominations
100000	0.248161	670	5
100001	0.244652	671	5
100002	0.246638	672	5
100003	0.246655	673	5
100004	0.247658	673	5
100005	0.24415	672	5
100006	0.242645	671	5
100007	0.242131	672	5
100008	0.252129	673	5
100009	0.246177	672	5
100010	0.24411	673	5
100011	0.245654	669	5
100012	0.253174	670	5
100013	0.246152	671	5
100014	0.247162	672	5
100015	0.244651	673	5
100016	0.248662	674	5
100017	0.244668	670	5
100018	0.248122	671	5
100019	0.244639	672	5
100020	0.245653	673	5
100021	0.248654	674	5
100022	0.276295	673	5
100023	0.251126	671	5
100024	0.241143	670	5
100025	0.245657	671	5
100026	0.238634	672	5
100027	0.24014	673	5
100028	0.238643	674	5
100029	0.241643	672	5
100030	0.236641	671	5
100031	0.242145	672	5
100032	0.237122	673	5
100033	0.250164	674	5
100034	0.235127	675	5
100035	0.24415	673	5
100036	0.237633	672	5
100037	0.246167	671	5
100038	0.23663	672	5
100039	0.243136	673	5
100040	0.239135	674	5
100041	0.243652	674	5
100042	0.240139	673	5
100043	0.239598	672	5
100044	0.239638	673	5
100045	0.245619	674	5
100046	0.242144	673	5
100047	0.238135	674	5
100048	0.240138	670	5
100049	0.243649	671	5
100050	0.238636	667	5
100051	0.236629	668	5
100052	0.242155	669	5
100053	0.245652	670	5
100054	0.240647	671	5
100055	0.240678	672	5
100056	0.241643	668	5
100057	0.241604	669	5
100058	0.241644	670	5
100059	0.24064	671	5
100060	0.241682	672	5
100061	0.239598	671	5
100062	0.242143	669	5
100063	0.240681	668	5
100064	0.242645	669	5
100065	0.241643	670	5
100066	0.24419	671	5
100067	0.238132	672	5
100068	0.243649	670	5
100069	0.238133	669	5
100070	0.241179	670	5
100071	0.242649	671	5
100072	0.240139	672	5
100073	0.238635	673	5
100074	0.24816	671	5
100075	0.24064	670	5
100076	0.242646	669	5
100077	0.244156	670	5
100078	0.242166	671	5
100079	0.244611	672	5
100080	0.241644	672	5
100081	0.238639	671	5
100082	0.242143	670	5
100083	0.242144	671	5
100084	0.238635	672	5
100085	0.242646	671	5
100086	0.24014	672	5
100087	0.24014	668	5
100088	0.237632	669	5
100089	0.243648	670	5
100090	0.24064	671	5
100091	0.241641	672	5
100092	0.236629	673	5
100093	0.243148	669	5
100094	0.240137	670	5
100095	0.246648	671	5
100096	0.239636	672	5
100097	0.241141	673	5
100098	0.242648	672	5
100099	0.246157	670	5
100100	0.237131	669	5
